year,best_actor,best_actor_film,best_actress,best_actress_film
2016,Casey Affleck,Manchester by the Sea,Emma Stone,La La Land
2017,Gary Oldman,Darkest Hour,Frances McDormand,Three Billboards Outside Ebbing Missouri
2018,Rami Malek,Bohemian Rhapsody,Olivia Colman,The Favourite
2019,Joaquin Phoenix,Joker,Renee Zellweger,Judy
2020,Anthony Hopkins,The Father,Frances McDormand,Nomadland
2021,Will Smith,King Richard,Jessica Chastain,The Eyes of Tammy Faye
2022,Brendan Fraser,The Whale,Michelle Yeoh,Everything Everywhere All at Once
2023,Cillian Murphy,Oppenheimer,Emma Stone,Poor Things
2024,Adrien Brody,The Brutalist,Mikey Madison,Anora
2025,Michael B. Jordan,Sinners,Jessie Buckley,Hamnet
